         27591 function calls (26769 primitive calls) in 0.792 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:184(__eq__)
       58    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:462(format)
        1    0.000    0.000    0.025    0.025 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\events\InitProjPassifEp.py:12(initProjPassifEp)
       28    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       28    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:1157(__init__)
        5    0.000    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:210(__le__)
       40    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:1177(sort)
        3    0.000    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\.vscode\extensions\ms-python.debugpy-2024.8.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1681(process_internal_commands)
       14    0.000    0.000    0.000    0.000 {method 'filter' of 'builtins.PyLazyFrame' objects}
        1    0.000    0.000    0.012    0.012 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\ops\MpPassifEpProjHypsPrstBuild.py:9(mpPassifEpProjHypsPrstBuild)
        6    0.000    0.000    0.000    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:146(parse_predicates_constraints_as_expression)
      279    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.007    0.007 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\gse\ops\GseCashPerfBuild.py:16(gseOutputCashPerfBuild)
       14    0.000    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:731(parent)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       65    0.000    0.000    0.000    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\io\csv\_utils.py:9(_check_arg_is_1byte)
        2    0.000    0.000    0.001    0.001 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\expr\PassifExpr.py:2(calcAgeMois)
        6    0.000    0.000    0.007    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:7502(explode)
       70    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:493(iscode)
       14    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        2    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1517(debug)
        4    0.000    0.000    0.000    0.000 {when}
        1    0.000    0.000    0.028    0.028 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\dao\fs\LoadFsActif.py:16(loadFsHypStratInv)
        5    0.000    0.000    0.005    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
       58    0.000    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:622(formatTime)
      126    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      116    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:968(acquire)
        1    0.000    0.000    0.005    0.005 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\ops\MpPassifEpInitS2Build.py:11(mpPassifEpInitS2Build)
        1    0.000    0.000    0.002    0.002 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\ops\MpActifIndicesInitProj.py:12(mpActifIndicesInitProjBuild)
       58    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:668(usesTime)
       14    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:551(drive)
       58    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:383(getMessage)
      444    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       14    0.000    0.000    0.005    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\deprecation.py:33(issue_deprecation_warning)
